"gene_id","pbs","auxin","pbs.1","pbs.2","pbs.3","auxin.1","auxin.2","auxin.3","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Rt1b",121.940111015162,136.651762386427,256.51904350382,48.6329830383648,60.6683065033014,338.125983469792,21.7173129254754,50.1119907640135,129.295936700794,-0.0243880670647456,0.128335496040018,0.556413943771754,0.988835539494147
"Rt1c",21.4510464830104,15.151127886379,23.3199130458018,29.5271682732929,11.5060581299365,22.1318825543864,14.4782086169836,8.84329248776709,18.3010871846947,-0.0235681622839018,0.132789809220836,0.424969538032511,0.988835539494147
"S-element",31.2157637813318,37.9810246275316,28.2008250786441,27.7902760219227,37.6561902434285,30.7387257699811,38.005297619582,45.1990504930318,34.5983942044317,0.0232012051938106,0.13015588635178,0.539350150574828,0.988835539494147
"S2",9.2996582390874,7.71629697283829,10.8464711840939,8.68446125685085,8.36804227631744,7.37729418479545,10.8586564627377,4.91294027098172,8.50797760596284,-0.0104089015865192,0.132031788997688,0.638427702392864,0.988835539494147
"springer",28.2882862885961,33.7974514633333,40.674266940352,24.3164915191824,19.8741004062539,39.9603435009754,39.8150736967049,21.6169371923196,31.0428688759647,0.0184654249643791,0.129862490738666,0.606513225721833,0.988835539494147
"Stalker",13.4876819958148,35.0298413362283,20.6082952497784,5.21067675411051,14.6440739835555,54.1001573551667,12.6684325398607,38.3209341136574,24.2587616660215,0.101557918595495,0.191329311566162,0.0100295190537394,0.421239800257054
"Stalker2",305.304044027748,307.277545387702,310.209075865085,357.799803782255,247.903252435904,300.624738030415,329.379246036377,291.828652096314,306.290794707725,0.00746250069207664,0.119822279464042,0.929603996910825,0.988835539494147
"Stalker3",2.57836310287949,3.07212062625969,2.16929423681878,3.47378450274034,2.09201056907936,4.30342160779735,0,4.91294027098172,2.82524186456959,0.00167515577791471,0.132808649531288,0.891438888776194,0.988835539494147
"Stalker4",7.51967557360257,8.05534214726238,12.473441861708,6.94756900548068,3.13801585361904,9.22161773099432,9.04888038561475,5.89552832517806,7.78750886043247,0.003762244823877,0.131747256285052,0.818354732505792,0.988835539494147
"Tabor",416.669389928943,330.429728275787,314.005340779518,609.64918023093,326.35364877638,249.598453252246,425.297378123893,316.393353451223,373.549559102365,-0.0646742967172273,0.136667018929801,0.265316642348843,0.988835539494147
"TAHRE",11961.7220120447,9831.32530220083,7700.45221714745,18939.0731089403,9245.64071004623,4918.81089771237,16791.1024435467,7784.06256534343,10896.5236571228,-0.0926490184130879,0.150906362267404,0.148894262504155,0.988835539494147
"TART-A",200.249946156895,154.848405194688,147.512008103677,290.061005978818,163.17682438819,113.11851083353,209.934024946262,141.492679804273,177.549175675792,-0.0681624501396766,0.141037989723113,0.220591916058211,0.988835539494147
"TART-B",548.840102076328,407.922343692856,337.867577384524,818.07625039535,490.57647844911,371.323807301371,577.318568602221,275.124655174976,478.381222884592,-0.0799038597301098,0.148930002994624,0.163891676880418,0.988835539494147
"TART-C",1072.72198412904,823.306799203955,760.879953564185,1630.94182403659,826.344174786347,492.434386835096,1458.6795181611,518.806492615669,948.014391666498,-0.145120592800056,0.204879895682656,0.0589998989797616,0.988835539494147
"Tc1",52.4498220139295,56.042528365328,39.047296262738,66.0019055520665,52.300264226984,36.8864709239773,85.0594756247787,46.1816385472281,54.2461751896288,0.00334845832477987,0.125866547480267,0.938145560936102,0.988835539494147
"Tc1-2",45.9092822296878,33.8227159262291,31.9970899930769,71.212582306177,34.5181743898094,26.4353041621837,41.6248497738279,33.4079938426757,39.8659990779584,-0.0336402122742382,0.132748730913798,0.391466668025283,0.988835539494147
"Tc3",6.91939884747764,10.0107543833682,5.42323559204694,1.73689225137017,13.5980686990158,12.2954903079924,10.8586564627377,6.8781163793744,8.46507661542291,0.0161171611177066,0.133285719712744,0.399006666251094,0.988835539494147
"Tirant",298.677334451795,220.26688148997,164.866361998227,373.431834044587,357.73380731257,118.651481472127,231.651337871738,310.497825126044,259.472107970882,-0.102949332972145,0.166310039356468,0.104840464848765,0.988835539494147
"Tom1",149.630054738233,103.929521043512,92.7373286240026,237.954238437713,118.198597152984,86.068432155947,117.635445012992,108.084685961598,126.779787890873,-0.0622407796385693,0.141604791992862,0.212923862564656,0.988835539494147
